[description:"apply for co op" due:"1639328400" entry:"1635783391" modified:"1635783391" status:"pending" tags:"seneca" uuid:"aba3f92a-aa72-4a14-a553-ba31a9d964db"]
[description:"discussion board 4" due:"1637553600" entry:"1635952421" modified:"1635952421" project:"PSY" status:"pending" tags:"seneca" uuid:"0c1f4157-c2e9-4e2e-8295-e8830fbe7f98"]
[description:"journal C" due:"1638763200" entry:"1635952479" modified:"1635952479" project:"PSY" status:"pending" tags:"seneca" uuid:"4c0b458f-815a-4259-a8b3-3e31ba0d07ca"]
[description:"lab" due:"1636603200" entry:"1636251707" modified:"1636251711" project:"DBS" start:"1636251711" status:"pending" tags:"seneca" uuid:"8af42770-c27a-42f3-a27e-73af00aff4a1"]
[description:"psy weekly material" due:"1636948800" entry:"1636418044" modified:"1636418044" project:"PSY" status:"pending" tags:"seneca" uuid:"8c94d7d7-9fa4-4cf8-aa84-141fbd832c52"]
