[description:"apply for co op" due:"1639328400" entry:"1635783391" modified:"1635783391" status:"pending" tags:"seneca" uuid:"aba3f92a-aa72-4a14-a553-ba31a9d964db"]
[description:"discussion board 4" due:"1637553600" entry:"1635952421" modified:"1635952421" project:"PSY" status:"pending" tags:"seneca" uuid:"0c1f4157-c2e9-4e2e-8295-e8830fbe7f98"]
[description:"journal C" due:"1638763200" entry:"1635952479" modified:"1637163194" project:"PSY" start:"1637163194" status:"pending" tags:"seneca" uuid:"4c0b458f-815a-4259-a8b3-3e31ba0d07ca"]
[annotation_1637163358:"PL SQL lab 2" description:"lab 6" due:"1637373600" entry:"1636747639" modified:"1637163358" project:"DBS" start:"1637163351" status:"pending" tags:"seneca" uuid:"54cfe3b9-b56e-4ec5-9a29-00e2b21a7d9d"]
[description:"read web notes" due:"1637380800" entry:"1637190092" modified:"1637190098" project:"WEB" start:"1637190098" status:"pending" tags:"seneca" uuid:"fd5c5798-b6ae-494c-b841-532090e52717"]
[description:"weekly reading" due:"1637553600" entry:"1637190119" modified:"1637241717" project:"PSY" start:"1637241717" status:"pending" tags:"seneca" uuid:"461c125a-4d40-4bf8-864a-2fe8b9b15534"]
[description:"work on executor UI interface" entry:"1637204341" modified:"1637204341" project:"personal" status:"pending" uuid:"1b9f5395-b6af-4723-93c8-a36b5c98417d"]
